county,distid,dist_name,instid,inst_name,inst_type,asian,black_african_american,hispanic_latino,american_indian_alaska_native,multi_racial,native_hawaiian_pacific_islander,white
Multnomah,2180,Portland SD 1J,893,Sunnyside Environmental School,School,NA,NA,NA,NA,NA,NA,13.1
Multnomah,2180,Portland SD 1J,895,Vernon Elementary School,School,NA,NA,NA,NA,16.9,NA,14.8
Multnomah,2180,Portland SD 1J,896,Vestal Elementary School,School,3.6,8.4,NA,NA,NA,NA,10.1
Multnomah,2180,Portland SD 1J,900,Whitman Elementary School,School,4,NA,5,NA,NA,NA,8.6
Multnomah,2180,Portland SD 1J,902,Woodlawn Elementary School,School,NA,15.8,13.8,NA,NA,NA,15.9
Multnomah,2180,Portland SD 1J,903,Woodmere Elementary School,School,NA,4.8,4.1,NA,NA,NA,6.2
Multnomah,2180,Portland SD 1J,904,Woodstock Elementary School,School,6.4,NA,12.2,NA,14.7,NA,13.4
Multnomah,2180,Portland SD 1J,916,Metropolitan Learning Center,School,NA,NA,NA,NA,NA,NA,15.1
Multnomah,2181,Parkrose SD 3,925,Prescott Elementary School,School,NA,NA,2.8,NA,NA,NA,10
Multnomah,2181,Parkrose SD 3,926,Russell Elementary School,School,NA,3.7,3.8,NA,NA,NA,4.6
Multnomah,2181,Parkrose SD 3,927,Sacramento Elementary School,School,NA,NA,4.7,NA,NA,NA,8.5
Multnomah,2181,Parkrose SD 3,928,Shaver Elementary School,School,NA,4.7,0.6,NA,4.7,NA,3.2
Multnomah,2183,Gresham-Barlow SD 10J,933,East Gresham Elementary School,School,NA,NA,1.5,NA,4.2,NA,3.7
Multnomah,2183,Gresham-Barlow SD 10J,935,Highland Elementary School,School,NA,5,1,NA,8,NA,5.6
Multnomah,2183,Gresham-Barlow SD 10J,936,Hall Elementary School,School,NA,4.8,3,NA,NA,NA,3.4
Multnomah,2183,Gresham-Barlow SD 10J,937,Hollydale Elementary School,School,NA,NA,2.1,NA,NA,NA,5.1
Multnomah,2183,Gresham-Barlow SD 10J,938,North Gresham Elementary School,School,5.3,NA,4.4,NA,NA,2.7,6.3
Multnomah,2183,Gresham-Barlow SD 10J,939,Powell Valley Elementary School,School,NA,NA,3.4,NA,NA,NA,4.7
Multnomah,2183,Gresham-Barlow SD 10J,940,West Gresham Elementary School,School,NA,NA,7.8,NA,NA,NA,7.3
