county,distid,dist_name,instid,inst_name,inst_type,asian,black_african_american,hispanic_latino,american_indian_alaska_native,multi_racial,native_hawaiian_pacific_islander,white
Linn,2105,Central Linn SD 552,1311,Central Linn Elementary School,School,NA,NA,NA,NA,NA,NA,5.3
Multnomah,2183,Gresham-Barlow SD 10J,1313,Kelly Creek Elementary School,School,NA,NA,1.5,NA,6,NA,4.9
Deschutes,1976,Bend-LaPine Administrative SD 1,1317,Lava Ridge Elementary School,School,NA,NA,NA,NA,11.7,NA,9.3
Benton,1898,Monroe SD 1J,1321,Monroe Grade School,School,NA,NA,NA,NA,NA,NA,8
Benton,1901,Corvallis SD 509J,1322,Franklin School,School,NA,NA,NA,NA,NA,NA,15.4
Deschutes,1976,Bend-LaPine Administrative SD 1,1324,Amity Creek Elementary School,School,NA,NA,NA,NA,NA,NA,12.3
Washington,2244,Sherwood SD 88J,1334,Archer Glen Elementary School,School,NA,NA,7.6,NA,9,NA,13.3
Yamhill,2254,Newberg SD 29J,1335,Antonia Crater Elementary School,School,NA,NA,11.2,NA,19.6,NA,12.5
Lane,2082,Eugene SD 4J,1339,Family School,School,NA,NA,NA,NA,NA,NA,8.6
Jackson,2048,Medford SD 549C,1350,Abraham Lincoln Elementary School,School,NA,NA,5.7,NA,11,NA,9.3
Josephine,2054,Grants Pass SD 7,1351,Parkside Elementary School,School,NA,NA,5.4,NA,5.7,NA,6.1
Lane,2083,Springfield SD 19,1352,Riverbend Elementary School,School,NA,NA,3.4,NA,NA,NA,5.4
Marion,2146,Woodburn SD 103,1359,Heritage Elementary School,School,NA,NA,2,NA,NA,NA,1.5
Multnomah,2180,Portland SD 1J,1364,Winterhaven School,School,NA,NA,NA,NA,NA,NA,12.5
Multnomah,2182,Reynolds SD 7,1365,Woodland Elementary School,School,NA,NA,2,NA,NA,NA,8.2
Washington,2242,Tigard-Tualatin SD 23J,1369,Deer Creek Elementary School,School,NA,NA,1,NA,11.3,NA,11.3
Washington,2243,Beaverton SD 48J,1370,Findley Elementary School,School,16.1,NA,NA,NA,15.5,NA,13.5
Lane,2082,Eugene SD 4J,1774,Edgewood Community Elementary School,School,NA,NA,5.9,NA,NA,NA,13.4
